RoomCount,Floor,Size(m2),Age,District,Price(TL)
4,3.0,130.0,0.0,Akyurt,3450000
5,2.0,175.0,0.0,Akyurt,3975000
1,1.0,550.0,1.0,Akyurt,3600000
5,4.0,170.0,4.0,Akyurt,3705000
4,1.0,110.0,4.0,Akyurt,2099999
4,3.0,135.0,3.0,Akyurt,2700000
2,4.0,50.0,0.0,Akyurt,2925000
4,1.0,140.0,13.0,Akyurt,2050500
7,4.0,421.0,7.5,Akyurt,5250000
4,1.0,135.0,13.0,Akyurt,2043000
3,1.0,90.0,13.0,Akyurt,1425000
4,3.0,100.0,18.0,Akyurt,2175000
4,4.0,130.0,13.0,Akyurt,1650000
4,3.0,135.0,13.0,Akyurt,2002500
5,1.0,170.0,0.0,Akyurt,3225000
4,4.0,135.0,2.0,Akyurt,2325000
4,2.0,140.0,0.0,Akyurt,2662500
6,4.0,200.0,13.0,Akyurt,3750000
4,2.0,135.0,0.0,Akyurt,2325000
3,6.0,105.0,13.0,Akyurt,1875000
4,2.0,130.0,7.5,Akyurt,2250000
4,2.0,140.0,0.0,Akyurt,3000000
4,3.0,140.0,0.0,Akyurt,3150000
4,4.0,130.0,0.0,Akyurt,2100000
4,1.0,130.0,0.0,Akyurt,2700000
2,1.0,275.0,0.0,Akyurt,1110000
5,4.0,201.0,7.5,Akyurt,3150000
5,2.0,170.0,3.0,Akyurt,3150000
3,1.0,100.0,18.0,Akyurt,952500
4,2.0,117.0,13.0,Akyurt,2475000
4,1.0,117.0,18.0,Akyurt,1425000
4,2.0,135.0,4.0,Altındağ,3075000
3,1.0,120.0,4.0,Altındağ,2100000
4,0.0,145.0,0.0,Altındağ,2625000
5,3.0,200.0,1.0,Altındağ,3600000
4,5.0,145.0,7.5,Altındağ,3225000
4,3.0,130.0,7.5,Altındağ,3300000
4,2.0,133.0,0.0,Altındağ,6450000
3,1.0,125.0,7.5,Altındağ,1635000
5,2.0,180.0,7.5,Altındağ,3975000
4,2.0,135.0,1.0,Altındağ,3825000
4,4.0,160.0,0.0,Altındağ,4650000
4,3.0,120.0,0.0,Altındağ,3750000
5,4.0,160.0,7.5,Altındağ,2925000
3,7.0,100.0,18.0,Altındağ,2692500
4,2.0,120.0,7.5,Altındağ,6067500
4,1.0,145.0,3.0,Altındağ,2653500
4,5.0,140.0,4.0,Altındağ,3825000
4,1.0,135.0,4.0,Altındağ,3675000
3,14.0,98.0,7.5,Altındağ,2212500
4,1.0,115.0,20.0,Altındağ,1408500
3,-2.0,90.0,13.0,Altındağ,1477500
4,2.0,115.0,20.0,Altındağ,2550000
4,2.0,125.0,20.0,Altındağ,2700000
3,3.0,70.0,20.0,Altındağ,1318500
4,1.0,140.0,7.5,Altındağ,2677500
3,1.0,100.0,20.0,Altındağ,1350000
4,8.0,130.0,13.0,Altındağ,3525000
4,3.0,150.0,3.0,Altındağ,6727500
4,1.0,145.0,2.0,Altındağ,3555000
4,1.0,135.0,7.5,Altındağ,2233500
4,7.0,150.0,0.0,Altındağ,5025000
4,2.0,150.0,2.0,Altındağ,5625000
3,5.0,85.0,7.5,Altındağ,2025000
4,1.0,105.0,1.0,Altındağ,3705000
4,3.0,130.0,18.0,Altındağ,2775000
4,1.0,140.0,1.0,Altındağ,2347500
4,1.0,130.0,13.0,Altındağ,2842500
4,-1.0,125.0,4.0,Altındağ,2325000
3,0.0,93.0,7.5,Altındağ,1950000
4,1.0,135.0,4.0,Altındağ,1987500
3,10.0,90.0,13.0,Altındağ,2293500
3,2.0,100.0,13.0,Altındağ,2040000
4,1.0,130.0,7.5,Altındağ,2790000
3,1.0,100.0,13.0,Altındağ,2182500
4,1.0,175.0,3.0,Altındağ,4470000
4,2.0,145.0,4.0,Altındağ,3712500
4,5.0,150.0,0.0,Altındağ,4611000
4,4.0,150.0,7.5,Altındağ,2992500
4,2.0,135.0,1.0,Altındağ,3600000
4,8.0,150.0,7.5,Altındağ,3442500
5,5.0,250.0,0.0,Altındağ,4425000
4,1.0,120.0,7.5,Altındağ,2512500
3,1.0,78.0,20.0,Altındağ,1441500
4,6.0,160.0,0.0,Altındağ,3748500
4,6.0,175.0,0.0,Altındağ,4275000
3,4.0,72.0,20.0,Altındağ,1875000
3,4.0,78.0,20.0,Altındağ,1245000
4,7.0,140.0,0.0,Altındağ,4470000
4,3.0,150.0,0.0,Altındağ,5760000
4,0.0,100.0,20.0,Altındağ,1725000
3,12.0,93.0,7.5,Altındağ,2475000
3,2.0,70.0,20.0,Altındağ,1350000
4,3.0,135.0,7.5,Altındağ,2430000
