,RoomCount,Floor,Size(m2),Age,District,Price(TL)
0,4,3.0,130.0,0.0,Akyurt,3450000
1,5,2.0,175.0,0.0,Akyurt,3975000
2,1,1.0,550.0,1.0,Akyurt,3600000
3,5,4.0,170.0,4.0,Akyurt,3705000
4,4,1.0,110.0,4.0,Akyurt,2099999
5,4,3.0,135.0,3.0,Akyurt,2700000
6,2,4.0,50.0,0.0,Akyurt,2925000
7,4,1.0,140.0,13.0,Akyurt,2050500
8,7,4.0,421.0,7.5,Akyurt,5250000
9,4,1.0,135.0,13.0,Akyurt,2043000
10,3,1.0,90.0,13.0,Akyurt,1425000
11,4,3.0,100.0,18.0,Akyurt,2175000
12,4,4.0,130.0,13.0,Akyurt,1650000
13,4,3.0,135.0,13.0,Akyurt,2002500
14,5,1.0,170.0,0.0,Akyurt,3225000
15,4,4.0,135.0,2.0,Akyurt,2325000
16,4,2.0,140.0,0.0,Akyurt,2662500
17,6,4.0,200.0,13.0,Akyurt,3750000
18,4,2.0,135.0,0.0,Akyurt,2325000
19,3,6.0,105.0,13.0,Akyurt,1875000
20,4,2.0,130.0,7.5,Akyurt,2250000
21,4,2.0,140.0,0.0,Akyurt,3000000
22,4,3.0,140.0,0.0,Akyurt,3150000
23,4,4.0,130.0,0.0,Akyurt,2100000
24,4,1.0,130.0,0.0,Akyurt,2700000
25,2,1.0,275.0,0.0,Akyurt,1110000
26,5,4.0,201.0,7.5,Akyurt,3150000
27,5,2.0,170.0,3.0,Akyurt,3150000
28,3,1.0,100.0,18.0,Akyurt,952500
29,4,2.0,117.0,13.0,Akyurt,2475000
30,4,1.0,117.0,18.0,Akyurt,1425000
31,4,2.0,135.0,4.0,Altındağ,3075000
32,3,1.0,120.0,4.0,Altındağ,2100000
33,4,0.0,145.0,0.0,Altındağ,2625000
34,5,3.0,200.0,1.0,Altındağ,3600000
35,4,5.0,145.0,7.5,Altındağ,3225000
36,4,3.0,130.0,7.5,Altındağ,3300000
37,4,2.0,133.0,0.0,Altındağ,6450000
38,3,1.0,125.0,7.5,Altındağ,1635000
39,5,2.0,180.0,7.5,Altındağ,3975000
40,4,2.0,135.0,1.0,Altındağ,3825000
41,4,4.0,160.0,0.0,Altındağ,4650000
42,4,3.0,120.0,0.0,Altındağ,3750000
43,5,4.0,160.0,7.5,Altındağ,2925000
44,3,7.0,100.0,18.0,Altındağ,2692500
45,4,2.0,120.0,7.5,Altındağ,6067500
46,4,1.0,145.0,3.0,Altındağ,2653500
47,4,5.0,140.0,4.0,Altındağ,3825000
48,4,1.0,135.0,4.0,Altındağ,3675000
50,3,14.0,98.0,7.5,Altındağ,2212500
51,4,1.0,115.0,20.0,Altındağ,1408500
52,3,-2.0,90.0,13.0,Altındağ,1477500
53,4,2.0,115.0,20.0,Altındağ,2550000
54,4,2.0,125.0,20.0,Altındağ,2700000
55,3,3.0,70.0,20.0,Altındağ,1318500
56,4,1.0,140.0,7.5,Altındağ,2677500
57,3,1.0,100.0,20.0,Altındağ,1350000
58,4,8.0,130.0,13.0,Altındağ,3525000
59,4,3.0,150.0,3.0,Altındağ,6727500
60,4,1.0,145.0,2.0,Altındağ,3555000
69,4,1.0,135.0,7.5,Altındağ,2233500
70,4,7.0,150.0,0.0,Altındağ,5025000
71,4,2.0,150.0,2.0,Altındağ,5625000
72,3,5.0,85.0,7.5,Altındağ,2025000
73,4,1.0,105.0,1.0,Altındağ,3705000
74,4,3.0,130.0,18.0,Altındağ,2775000
75,4,1.0,140.0,1.0,Altındağ,2347500
76,4,1.0,130.0,13.0,Altındağ,2842500
77,4,-1.0,125.0,4.0,Altındağ,2325000
78,3,0.0,93.0,7.5,Altındağ,1950000
79,4,1.0,135.0,4.0,Altındağ,1987500
80,3,10.0,90.0,13.0,Altındağ,2293500
81,3,2.0,100.0,13.0,Altındağ,2040000
82,4,1.0,130.0,7.5,Altındağ,2790000
83,3,1.0,100.0,13.0,Altındağ,2182500
84,4,1.0,175.0,3.0,Altındağ,4470000
85,4,2.0,145.0,4.0,Altındağ,3712500
86,4,5.0,150.0,0.0,Altındağ,4611000
87,4,4.0,150.0,7.5,Altındağ,2992500
88,4,2.0,135.0,1.0,Altındağ,3600000
89,4,8.0,150.0,7.5,Altındağ,3442500
90,5,5.0,250.0,0.0,Altındağ,4425000
91,4,1.0,120.0,7.5,Altındağ,2512500
92,3,1.0,78.0,20.0,Altındağ,1441500
93,4,6.0,160.0,0.0,Altındağ,3748500
94,4,6.0,175.0,0.0,Altındağ,4275000
95,3,4.0,72.0,20.0,Altındağ,1875000
96,3,4.0,78.0,20.0,Altındağ,1245000
97,4,7.0,140.0,0.0,Altındağ,4470000
98,4,3.0,150.0,0.0,Altındağ,5760000
99,4,0.0,100.0,20.0,Altındağ,1725000
100,3,12.0,93.0,7.5,Altındağ,2475000
101,3,2.0,70.0,20.0,Altındağ,1350000
102,4,3.0,135.0,7.5,Altındağ,2430000
103,3,1.0,130.0,13.0,Altındağ,1470000
104,4,2.0,140.0,2.0,Altındağ,3712500
105,4,1.0,130.0,0.0,Altındağ,3592500
106,4,1.0,130.0,7.5,Altındağ,2233500
107,4,3.0,130.0,7.5,Altındağ,2385000
108,4,2.0,135.0,4.0,Altındağ,2983500
109,3,1.0,110.0,7.5,Altındağ,1575000
111,5,2.0,189.0,0.0,Altındağ,6225000
112,3,14.0,90.0,13.0,Altındağ,2212500
113,4,1.0,125.0,7.5,Altındağ,2400000
114,3,1.0,110.0,0.0,Altındağ,3868500
115,4,3.0,160.0,0.0,Altındağ,5475000
116,3,4.0,77.0,20.0,Altındağ,1125000
118,4,7.0,190.0,0.0,Altındağ,6217500
119,4,1.0,160.0,0.0,Altındağ,3300000
120,4,2.0,160.0,0.0,Altındağ,5475000
121,4,-1.0,145.0,4.0,Altındağ,2295000
122,4,1.0,140.0,7.5,Altındağ,2775000
123,3,10.0,85.0,7.5,Altındağ,2293500
126,6,8.0,209.0,0.0,Altındağ,5685000
127,4,2.0,140.0,7.5,Altındağ,4215000
128,4,2.0,120.0,2.0,Altındağ,2827500
129,6,4.0,245.0,7.5,Altındağ,5250000
130,3,2.0,95.0,20.0,Altındağ,1395000
131,2,1.0,80.0,0.0,Altındağ,1200000
132,4,3.0,110.0,20.0,Altındağ,4875000
133,4,2.0,130.0,7.5,Altındağ,2985000
134,6,8.0,209.0,0.0,Altındağ,5385000
135,4,3.0,105.0,20.0,Altındağ,1492500
136,4,1.0,90.0,20.0,Altındağ,2325000
137,3,1.0,60.0,20.0,Altındağ,975000
138,4,5.0,155.0,2.0,Altındağ,4425000
139,4,2.0,135.0,4.0,Altındağ,4185000
140,4,1.0,120.0,7.5,Altındağ,2325000
141,4,2.0,100.0,20.0,Altındağ,1650000
142,4,-1.0,135.0,7.5,Altındağ,2775000
143,4,5.0,135.0,3.0,Altındağ,3135000
144,3,0.0,100.0,13.0,Altındağ,1650000
145,4,2.0,135.0,3.0,Altındağ,3900000
146,4,1.0,125.0,7.5,Altındağ,2325000
148,4,2.0,150.0,7.5,Altındağ,4162500
149,4,1.0,140.0,7.5,Altındağ,3375000
150,4,1.0,135.0,7.5,Altındağ,2512500
151,7,3.0,200.0,7.5,Altındağ,6405000
152,4,1.0,145.0,4.0,Altındağ,2670000
153,3,2.0,78.0,20.0,Altındağ,1153500
154,4,0.0,120.0,4.0,Altındağ,2325000
155,4,7.0,135.0,0.0,Altındağ,2775000
156,4,1.0,130.0,1.0,Altındağ,3300000
157,4,9.0,160.0,4.0,Altındağ,3405000
158,3,0.0,85.0,7.5,Altındağ,1950000
159,4,2.0,130.0,0.0,Altındağ,2835000
160,3,1.0,115.0,13.0,Altındağ,1491000
161,4,1.0,135.0,7.5,Altındağ,2848500
162,2,0.0,60.0,20.0,Altındağ,787500
163,5,3.0,167.0,7.5,Altındağ,2925000
164,3,1.0,110.0,7.5,Altındağ,1635000
165,5,4.0,145.0,7.5,Altındağ,2925000
166,4,6.0,160.0,7.5,Altındağ,4050000
167,3,0.0,100.0,13.0,Altındağ,2100000
168,4,-1.0,105.0,7.5,Altındağ,2212500
169,4,4.0,150.0,7.5,Altındağ,3000000
170,4,3.0,135.0,3.0,Altındağ,3270000
171,3,1.0,125.0,13.0,Altındağ,2227500
173,5,5.0,170.0,4.0,Altındağ,4500000
174,3,2.0,85.0,13.0,Altındağ,1875000
175,4,2.0,140.0,0.0,Altındağ,3930000
176,4,2.0,150.0,4.0,Altındağ,3975000
177,4,-3.0,115.0,7.5,Altındağ,1933500
178,4,3.0,130.0,7.5,Altındağ,3112500
179,4,5.0,130.0,7.5,Altındağ,3825000
180,4,3.0,140.0,0.0,Altındağ,4200000
181,4,2.0,130.0,7.5,Altındağ,2625000
182,4,1.0,130.0,13.0,Altındağ,2212500
183,4,0.0,125.0,13.0,Altındağ,2625000
184,4,1.0,140.0,7.5,Altındağ,2887500
185,4,0.0,115.0,13.0,Altındağ,1950000
186,4,1.0,140.0,7.5,Altındağ,2917500
187,4,2.0,130.0,4.0,Altındağ,2947500
188,3,-1.0,115.0,13.0,Altındağ,1650000
189,4,1.0,145.0,13.0,Altındağ,2775000
190,4,1.0,135.0,7.5,Altındağ,2685000
191,4,1.0,130.0,4.0,Altındağ,3675000
192,5,9.0,160.0,2.0,Altındağ,3840000
